name,carbs,fats,proteins
ARCHWAY Home Style Cookies. Reduced Fat Ginger Snaps,76.23,11.14,4.67
ARCHWAY Home Style Cookies. Strawberry Filled,65.92,13.26,4.35
ARCHWAY HOME STYLE COOKIES.FROSTY LEMON,64.78,17.11,4.41
ARCHWAY HOME STYLE COOKIES.PNUT BUTTER,58.48,24.28,9
ARCHWAY HOME STYLE COOKIES.RASPBERRY FILLED,65.92,13.26,4.35
ARCHWAY HOME STYLE COOKIES.SUGAR FREE OATMEAL,67.2,20.92,5.54
ARROWHEAD.CKD.BLD.DRND.W/SALT,16.14,0.1,4.49
ARROWHEAD.CKD.BLD.DRND.WO/SALT,16.14,0.1,4.49
ARROWHEAD.RAW,20.23,0.29,5.33
ARROWROOT FLOUR,88.15,0.1,0.3
ARROWROOT.RAW,13.39,0.2,4.24
ARTICHOKES.(GLOBE OR FRENCH).CKD.BLD.DRND.W/SALT,11.39,0.34,2.89
ARTICHOKES.(GLOBE OR FRENCH).CKD.BLD.DRND.WO/SALT,11.95,0.34,2.89
ARTICHOKES.(GLOBE OR FRENCH).FRZ.CKD.BLD.DRND.W/SALT,9.18,0.5,3.11
ARTICHOKES.(GLOBE OR FRENCH).FRZ.CKD.BLD.DRND.WO/SALT,9.18,0.5,3.11
ARTICHOKES.(GLOBE OR FRENCH).FRZ.UNPREP,7.75,0.43,2.63
ARTICHOKES.(GLOBE OR FRENCH).RAW,10.51,0.15,3.27
ARTIFICIAL BLUEBERRY MUFFIN MIX.DRY,77.45,8.7,4.7
ARUGULA.RAW,3.65,0.66,2.58
ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE),0,0.5,3.8
ASPARAGUS.CKD.BLD.DRND,4.11,0.22,2.4
ASPARAGUS.CKD.BLD.DRND.W/SALT,4.11,0.22,2.4
ASPARAGUS.CND.DRND SOL,2.46,0.65,2.14
ASPARAGUS.CND.NO SALT.SOL&LIQUIDS,2.48,0.18,1.8
ASPARAGUS.CND.REG PK.SOL&LIQUIDS,2.48,0.18,1.8
ASPARAGUS.FRZ.CKD.BLD.DRND.W/SALT,1.92,0.42,2.95
ASPARAGUS.FRZ.CKD.BLD.DRND.WO/SALT,1.92,0.42,2.95
ASPARAGUS.FRZ.UNPREP,4.1,0.23,3.23
ASPARAGUS.RAW,3.88,0.12,2.2
AUSTIN.CHEDDAR CHS ON CHS CRACKERS.SANDWICH-TYPE,60,24.9,7.5
AUSTIN.CHEDDAR CHS ON CHS CRACKERS.SANDWICH-TYPE.RED FAT,68,17.5,7.8
AUSTIN.CHEDDAR CHS ON WAFER CRACKERS.SANDWICH-TYPE,62.6,23,7.8
AUSTIN.CHEDDAR CHS ON WHEAT CRACKERS.SANDWICH-TYPE,61.4,24.5,7.9
AUSTIN.CHOCOLATEY PNUT BUTTER CRACKERS.SANDWICH-TYPE,66.2,20.8,7.7
AUSTIN.GRILLED CHS ON WAFER CRACKERS.SANDWICH-TYPE,62,23.8,7.9
AUSTIN.PB & J CRACKERS.SANDWICH-TYPE,65.7,21.7,7.6
AUSTIN.PNUT BUTTER ON CHS CRACKERS.SANDWICH-TYPE,59,24.5,10.8
AUSTIN.PNUT BUTTER ON CHS CRACKERS.SANDWICH-TYPE.RED FAT,66.3,17.9,9.7
AUSTIN.PNUT BUTTER ON TOASTY CRACKERS.SANDWICH-TYPE,60.2,23.8,10.6
AUSTIN.PNUT BUTTER ON TOASTY CRACKERS.SANDWICH-TYPE.RED FAT,67.2,18,9.5
AVOCADOS.RAW.ALL COMM VAR,8.53,14.66,2
AVOCADOS.RAW.CALIFORNIA,8.64,15.41,1.96
AVOCADOS.RAW.FLORIDA,7.82,10.06,2.23
BABYFD.FRU.BAN AND STRAW. JU,25.78,0.37,0.71
BABYFD.SNK.GE.GRAD.LIL CRUNCH.BKD.WHLGRN.CORN SNK,61.59,28.57,0
BABYFOO.BAN WI MIX BERR.ST,21.31,0.36,1.01
BABYFOOD  DINNER  CHICK STEW  TODD,6.4,3.7,5.2
Babyfood. beverage. GERBER GRADUATE FRUIT SPLASHERS,7.4,0,0
Babyfood. meat. turkey sticks. junior,1.4,14.2,13.7
Babyfood. Multigrain whole grain cereal. dry fortified,80.06,6.67,6.67
BABYFOOD.APPL YOGURT DSSRT.STR,19.5,1.6,0.8
BABYFOOD.APPLE-BANANA JUC,12.3,0.1,0.2
